Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,1000,3,1,18,1.74,0.000%,101.72940,63.78,14.11,642.0
TOTAL,1000,3,1,18,1.74,0.000%,101.72940,63.78,14.11,642.0
